date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:42	385503/385503	---M--	200	added ('OK')	image/png	etag:%225dda6f03-5e1df%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/ad-sm.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/ad-sm.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:42	129648/129648	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fa70-59483c27aaf00%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.eot	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.eot	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:43	74656/74656	---M--	200	added ('OK')	font/woff2	etag:%225d9e7fdc-123a0%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.woff2	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:43	129648/129648	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fa70-59483c27aaf00%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.eot?	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:44	87544/87544	---M--	200	added ('OK')	font/woff	etag:%225d9e7fdc-155f8%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.woff	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.woff	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:44	129344/129344	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225d9e7fdc-1f940%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.ttf	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:44	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228654-59483c27aaf00%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-regular-400.eot	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-regular-400.eot	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:45	691865/691865	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d9e7fdc-a8e99%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.svg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-brands-400.svg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:45	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228654-59483c27aaf00%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-regular-400.eot?	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
10:50:45	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%225d9e7fdc-3510%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/webfonts/fa-regular-400.woff2	(from https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0)
